question,expected_answer,tool_name,tool_parameters,evaluation_criteria,category
"We have a client who is 15 days late on their contractual obligations. What penalty should we charge them according to our standard terms?","1050 total penalty. Base penalty: 15 days × 100 = 1500, capped at 1000. Interest: 1000 × 5.0% = 50. Warning: Base penalty exceeded cap.",calc_penalty,"{""days_late"": 15}","Correct tool selection, accurate calculation, mentions cap applied, includes interest, shows warning",Penalty Calculations
"A vendor delivered our order 8 days late. Can you calculate the liquidated damages we should apply?","840 total penalty. Base penalty: 8 days × 100 = 800. No cap applied. Interest: 800 × 5.0% = 40.",calc_penalty,"{""days_late"": 8}","Correct tool selection, accurate calculation, mentions no cap needed, includes interest",Penalty Calculations
"Our customer missed the payment deadline by 25 days. What's the total penalty including interest charges?","1050 total penalty. Base penalty: 25 days × 100 = 2500, capped at 1000. Interest: 1000 × 5.0% = 50. Warning: Base penalty exceeded cap.",calc_penalty,"{""days_late"": 25}","Correct tool selection, accurate calculation, mentions cap applied, includes interest, shows warning",Penalty Calculations
"Help me calculate the late delivery penalty for a project that was completed 12 days after the agreed deadline.","1050 total penalty. Base penalty: 12 days × 100 = 1200, capped at 1000. Interest: 1000 × 5.0% = 50. Warning: Base penalty exceeded cap.",calc_penalty,"{""days_late"": 12}","Correct tool selection, accurate calculation, mentions cap applied, includes interest, shows warning",Penalty Calculations
"I need to calculate the income tax for a resident of Lysmark who earned 40000 this year. What's their total tax liability including any surcharges?","7140 total tax. Bracket 1 (0-10000): 1000 at 10%. Bracket 2 (10000+): 6000 at 20%. Subtotal: 7000. Surcharge: 140 at 2% (tax > 5000).",calc_tax,"{""income"": 40000}","Correct tool selection, accurate progressive calculation, bracket breakdown shown, surcharge applied correctly",Tax Calculations
"Can you help me figure out the progressive tax calculation for someone with an annual income of 75000 in the Republic of Lysmark?","14280 total tax. Bracket 1: 1000. Bracket 2: 13000. Subtotal: 14000. Surcharge: 280 at 2% (tax > 5000).",calc_tax,"{""income"": 75000}","Correct tool selection, accurate progressive calculation, bracket breakdown shown, surcharge applied correctly",Tax Calculations
"A taxpayer in our system has declared income of 120000. What's their tax obligation under the current brackets and surcharge rules?","23460 total tax. Bracket 1: 1000. Bracket 2: 22000. Subtotal: 23000. Surcharge: 460 at 2% (tax > 5000).",calc_tax,"{""income"": 120000}","Correct tool selection, accurate progressive calculation, bracket breakdown shown, surcharge applied correctly",Tax Calculations
"What would be the total tax (including surcharge) for a Lysmark resident earning 28000 annually?","4600 total tax. Bracket 1: 1000. Bracket 2: 3600. No surcharge applied (tax ≤ 5000).",calc_tax,"{""income"": 28000}","Correct tool selection, accurate progressive calculation, bracket breakdown shown, correctly identifies no surcharge needed",Tax Calculations
"We held a board meeting with 150 eligible voters. 95 people participated and 52 voted yes on an ordinary resolution. Did the proposal pass?","PASSED with warning. Turnout: 95/150 (63.3%) meets ≥60% requirement. Yes votes: 52/95 (54.7%) exceeds >50% requirement for general proposals. Warning: Low turnout (below 70%).",check_voting,"{""eligible_voters"": 150, ""turnout"": 95, ""yes_votes"": 52, ""proposal_type"": ""general""}","Correct tool selection, accurate turnout calculation, correct threshold applied for general proposal, mentions warning",Voting Validations
"Our shareholder meeting had 200 eligible participants, 130 showed up, and 88 voted in favor of amending the corporate charter. Is this amendment approved?","PASSED with warning. Turnout: 130/200 (65.0%) meets ≥60% requirement. Yes votes: 88/130 (67.7%) meets ≥66.7% requirement for amendments. Warning: Low turnout (below 70%).",check_voting,"{""eligible_voters"": 200, ""turnout"": 130, ""yes_votes"": 88, ""proposal_type"": ""amendment""}","Correct tool selection, accurate turnout calculation, correct threshold applied for amendment, mentions warning",Voting Validations
"In our cooperative, we have 80 members eligible to vote. 55 attended the meeting and 35 voted yes on a general proposal. What's the outcome?","PASSED with warning. Turnout: 55/80 (68.8%) meets ≥60% requirement. Yes votes: 35/55 (63.6%) exceeds >50% requirement for general proposals. Warning: Low turnout (below 70%).",check_voting,"{""eligible_voters"": 80, ""turnout"": 55, ""yes_votes"": 35, ""proposal_type"": ""general""}","Correct tool selection, accurate turnout calculation, correct threshold applied for general proposal, mentions warning",Voting Validations
